 ,"Document Name 
(title_location_year published)",Date Published,Resource Type,Organization,Copyright,"Geographical Area -
NATIONAL","Geographical Area -
PROVINCIAL / STATE","Geographical Area -
REGIONAL",Forest Type,BEC Zone,Practice,Value,Technique,Technique 2,Research Forest,BECZone_Subzone_variant,Tree Species,Wildlife Species,Habitat,Equipment,Forest Products,Tenure,Zonation,Stand Development,Disturbance Type,Notes,Is the document uploaded to Google Drive?
"Retention Strategies to Maintain Habitat Structure and Wildlife Diversity during the Salvage Harvesting of Mountain Pine Beetle Attack Areas in the Southern Interior Forest Region 

Unable to download to Mendeley - try again later",Retention Strategies to Maintain Habitat Structure and Wildlife Diversity During Salvage Harvesting of MPB Attack Areas in Southern Interior Forest Region_British Columbia_2006,2006,Extension note,BC Ministry of Forests,,Canada,"British Columbia

South interior BC",,"Dry interior forests

Wet interior forests

Montane and subalpine forests

","IDF
Interior douglas fir

PP
Ponderosa pine

ICH
Interior cedar hemlock

ESSF
Engelmann spruce subalpine fir

BG
Bunchgrass",Harvest,"Wildlife

Timber

Hydrology

Wildfire

Old growth stand structure","Salvage

Variable retention

Waste management",,,,"Pl
Lodgepole pine
Pinus contorta",,Riparian habitat,,,,"RRZ
Riparian reserve zone
Maybe ecological anchors instead?

WHA
Wildlife habitat area",Natural disturbances,"Mountain pine beetle

Fire",,
First-year Growth Responses of Young Red Alder Stands to Fertilization,First Year Growth Responses of Young Dr Stands to Fertilization_British Columbia_1999,1999,Extension note,BC Ministry of Forests,,Canada,"British Columbia 

North island BC

South island BC","Vancouver Island

Campbell River

Duncan",Coastal forests,"CDF
Coastal douglas fir

CWH
Coastal western hemlock",Harvest,Timber,"Fertilizing

Planting",,,CWH_xm,"Dr
Red alder
Alnus rubra",,,,,,,"Growth

Natural disturbances","Drought

Frost

Root rot",,
"Climate change mitigation in British Columbia’s forest sector: GHG reductions, costs, 
and environmental impacts

Need to download to Mendeley",Climate Change Mitigation in BC Forest Sector - GHG Reductions - Costs - Environmental Impacts_British Columbia_2020,2020,Peer-reviewed literature,BC Ministry of Forests,,Canada,British Columbia,,All - this paper applies to the entire province,All - this paper applies to the entire province,"Harvest

Waste/biomass/fuel management ","Climate change resilience

Economic

Timber

Biomass

Old growth stand structure

Wildfire risk

Ecosystem health

Carbon",Waste management,,,,"Pl
Lodgepole pine
Pinus contorta

Sx
Hybrid spruce
Picea engelmannii x glauca (interior) or 
Picea glauca x sitchensis (coastal)

Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla

Bl
Subalpine fir
Abies lasiocarpa

At
Trembling aspen
Populus tremuloides

Sw
White spruce
Picea glauca

Se
Engelmann spruce
Picea engelmannii

Cw
Western redcedar 
Thuja plicata

Ba
Amabilis fir
Abies amabilis

Lw
Western larch
Larix occidentalis

Sb
Black spruce
Picea mariana",,,,"Pulp

Full fibre utilization",,,Natural disturbances,"Fire

Mountain pine beetle",,
Pre-harvest Stand Structure and Wildlife Habitat Attributes at a Group Selection Site in the Interior Cedar Hemlock Zone,Pre-Harvest Stand Structure and Wildlife Havitat Attributes at Group Selection Site in ICH Zone_British Columbia_2009,2009,Extension note,University of Northern British Columbia ,,Canada,"British Columbia

Central interior BC","Cariboo Plateau - Quesnel Highlands

Cariboo - Horsefly",Wet interior forests,"ICH
Interior cedar hemlock","Harvest

","Old growth stand structure

Timber

Wildlife

Wildfire risk","Variable retention 

Waste management",,,ICH_wk_2,"Fd
Douglas fir
Pseudotsuga menziesii

Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla

Bl
Subalpine fir
Abies lasiocarpa

Sw
White spruce
Picea glauca","Songbirds

Bats",,,,,,"Growth

Natural disturbances","Western hemlock looper

Fire

Root rot",,
Opportunities and limitations of thinning to increase resistance and resilience of trees and forests to global change,Opportunities and Limitations of Thinning to Increase Resistance and Resilience of Trees and Forests to Global Change_Canada_2022,2022,Peer reviewed literature,"Laval University

University of Toronto

University of Montreal

University of New Brunswick",,Canada,,,"Dry interior forests

Montane and subalpine forests

Sub-boreal forests","PP
Ponderosa pine

IDF
Interior douglas fir

SBS
Sub-boreal spruce","Adaptive management 

Intervention","Climate change resilience

Wildfire risk","Thinning

Commercial thinning

Pre-commercial thinning

Waste management

",Herbicide,,,"Pl
Lodgepole pine
Pinus contorta

Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii

Sw
White spruce
Picea glauca",,,,,,,"Natural disturbances

Growth

Structure","Drought

Fire

Windthrow

Bark beetle

Gypsy moth

",,
Forest thinning and prescribed burning treatments reduce wildfire severity and buffer the impacts of severe fire weather  ,Forest Thinning and Prescribed Burning Treatments Reduce Wildfire Severity and Buffer the Impacts of Sever Fire Weather_USA_2024,2024,Peer reviewed literature,United States Department of Agriculture Forest Service ,,USA,California,,Dry interior forests,"PP
Ponderosa pine

IDF
Interior douglas fir","Waste/biomass/fuel management 

Restoration","Wildfire risk

Forest health

Climate change resilience","Thinning

Commercial thinning

Prescribed fire

Fuel management ",,,,"Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii

",,,,,,,Natural disturbances,Fire,,
Challenges facing gap-based silviculture and possible solutions for mesic northern forests in North America,Challenges Facing Gap-Based Silviculture and Possible Solutions for Mesic Northern Forests_North America_2017,2017,Peer reviewed literature,United States Department of Agriculture Forest Service ,,"Canada

USA",,,All - this paper is applicable to North America,All - this paper is applicable to North America,"Harvest

Adaptive management ","Ecosystem health

Wildfire risk","Variable retention

Regeneration cut

Patch cutting

Waste management ",,,,"
",,,,,,,"Competition

Natural disturbances","Fire

Windthrow",,
"ALRF Silvicultural Practices and Management for the Stand and Forest

See Appendix D (maybe added alongside the main document): https://alrf.unbc.ca/2019/MP3/ALRF_MP3_15.4_AppD_SilvSystemsReporting.pdf ",ALRF Silvicultural Practices and Management for the Stand and Forest_British Columbia_2019,2019,Guidance document (management plan),Univesrsity of Northern British Columbia,,Canada,"British Columbia

Central interior BC",Fraser Canyon,Sub-boreal forests,"SBS
Sub-boreal spruce","Reforestation

Intervention 

Harvest","Climate change resilience

Forest health

Timber","Planting

Regeneration cut

Patch cutting

Variable retention","Manual brushing

Girdling

Herbicide",Aleza Lake Research Forest,SBS_wk_1,"Bl
Subalpine fir
Abies lasiocarpa

Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta

Sw
White spruce
Picea glauca

Sx
Hybrid spruce
Picea engelmannii x glauca (interior) 

Sb
Black spruce
Picea mariana

EP
Paper birch
Betula papyrifera

Lw
Western larch
Larix occidentalis

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata",,,,,,,"Natural disturbances

Competition","Drought

Bark beetle

Root rot

Terminal weevil

Frost

Windthrow

Rodents

Windthrow

",,
Harvest Intensity Effects on Carbon Stocks and Biodiversity Are Dependent on Regional Climate in Douglas-Fir Forests of British Columbia,Harvest Intensity Effects on Carbon Stocks and Biodiversity are Dependent on Regional Climate in Fd Forests_British Columbia_2020,2020,Peer reviewed literature,University of British Columbia,,Canada,"British Columbia

South interior BC

Central interior BC

Lower Mainland","Kootenays - Cranbrook

Kootenays - Nelson

Fort St. James

Fraser Valley - Maple Ridge

Cariboo - Williams Lake","Wet interior forests

Dry interior forests

Coastal forests","IDF
Interior douglas fir

ICH
Interior cedar hemlock

SBS
Sub-boreal spruce",Harvest,"Carbon

Climate change resilience

Ecosystem health","Variable retention

Thinning

Pre-commercial thinning

",,"Malcolm Knapp Research Forest

Harrop Proctor Community Forest - Narrows Creek

Harrop Proctor Community Forests - Redfish Creek

John Prince Research Forest

Alex Fraser Research Forest

Jaffray (research site)","CWH_vm_1

ICH_dw_1

ICH_mk_3

SBS_dw_3

IDF_dm_2

IDF_dk_3","Fd
Douglas fir
Pseudotsuga menziesii

Lw
Western larch
Larix occidentalis

Sw
White spruce
Picea glauca

Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla

Bg
Grand fir
Abies grandis",,,,,Community forest (area-based),,Structure,,,
Stand growth and natural regeneration development following selection harvesting of dry-belt douglas fir - 15 year results ,Stand Growth and Natural Regeneration Development Following Selection Harveting of Dry Belt Fd - 15 Year Results_British Columbia_2010,2010,Technical report,BC Ministry of Forests,,Canada,"British Columbia

South interior BC","Okanagan

Shuswap",Dry interior forests,"IDF
Interior douglas fir",Harvest,Forest health,Variable retention,,,IDF_dk_2,"Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta

Sw
White spruce
Picea glauca

At
Trembling aspen
Populus tremuloides

EP
Paper birch
Betula papyrifera",,,,,,,"Growth

Structure

Natural disturbances","Mountain pine beetle

Western spruce budworm",,
Assessing Feasibility of Wildfire Fuel Reduction Targets in North Central British Columbia,Asssessing Feasibility of Wildfire Fuel Reduction Targets_North-Central British Columbia_2022 ,2022,Peer reviewed literature (discussion paper),"Burns Lake Community Forest

Shifting Mosaics Consulting",,Canada,"British Columbia

Central interior BC",Cariboo - Burns Lake,Sub-boreal forests,"SBS
Sub-boreal spruce","Waste/biomass/fuel management

Harvest","Wildfire risk

Climate change resilience

Ecosystem health","Fuel management 

Waste management 

Variable retention

",,Burns Lake Community Forest,,,,,Mechanical raking machine,,Community forest (area-based),"WUI
Wildland urban interface",Natural disturbances,"Fire

Mountain pine beetle",,
Bringing Adaptation to Ground in British Columbia,Bringing Adaptation to Ground_British Columbia_2016,2016,Peer reviewed literature (discussion paper),BC Ministry of Forests,,Canada,"British Columbia

Coastal BC
Northern BC
Southern BC",,"Coastal forests

Dry interior forests

Sub-boreal forests

Boreal forests

Montane and subalpine forests","BWBS
Boreal white and black spruce

SBS
Sub-boreal spruce

IDF
Interior douglas fir

ESSF
Engelmann spruce subalpine fir

CWH
Coastal western hemlock

CDF
Coastal douglas fir

MH
Montane hemlock","Adaptive management

Reforestation","Climate change resilience

Hydrology

Ecosystem health

Old growth stand structure

Wildfire risk","Variable retention

Restoration

",,,,,,Riparian habitat,,,Tree farm license (area-based),Sensitive waters,Natural disturbances,"Windthrow

Mass wasting

Avalanche

Fire

Frost",,
Tomentosus Root Rot Forest Health Stand Establishment Decision Aid,Tomentosus Root Rot Forest Health Stand Establishment Decision Aid_British Columbia_2013,2013,Extension note,"BC Ministry of Forests

University of Northern British Columbia",,Canada,British Columbia,,"Sub-boreal forests

Boreal forests

Dry interior forests

Wet interior forests

Montane and subalpine forests","SBS
Sub-boreal spruce

BWBS
Boreal white and black spruce

CWH
Coastal western hemlock

ESSF
Engelmann spruce subalpine fir

ICH
Interior cedar hemlock

IDF
Interior douglas fir

MS
Montane spruce

PP
Ponderosa pine

SBPS
Sub-boreal pine spruce

SWB
Spruce willow birch",Site preparation,Forest health,Planting,,,,"Pl
Lodgepole pine
Pinus contorta

Sw
White spruce
Picea glauca

Sb
Black spruce
Picea mariana

Se
Engelmann spruce
Picea engelmannii


","
",,,,,,"Natural disturbances

Site productivity

Growth","Root rot

Windthrow",,
Thinning of a Ponderosa Pine/Douglas Fir Forest in South Central BC: Impacts on Understorey Vegetation  ,Thinning of a Py and Fd Forest - Impacts on Understorey Vegetation_South Central British Columbia_2013 ,2013,Case study (research report),"University of Saskatchewan

Agriculture and Agri-Food Canada",,Canada,"British Columbia

North interior BC",Sitkine Country ,Dry interior forests,"IDF
Interior douglas fir","Intervention

Restoration

Waste/biomass/fuel management ","Biomass

Wildfire risk","Thinning

Biomass product

Fuel management 

Restoration",,,IDF_xh_2,"Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii",,,,,,"Access management

Ecological anchors",Natural disturbances,"Fire

Mountain pine beetle",,
"Successional Responses to Natural Disturbance, Forest Management and Climate Change in British Columbia Forests","Successional Responses to Natural Disturbance, Forest Management and Climate Change in BC Forests_British Columbia_2012",2012,Extension note,"Forest Research Extension Partnership (FORREX)

Ecora Resource Group Ltd.",,Canada,"British Columbia

South interior BC

Central interior BC

Coastal BC",,"Dry interior forests

Wet interior forests

Coastal forests

Sub-boreal forests

Montane and subalpine forests

Boreal forests","CWH
Coastal western hemlock

CDF
Coastal douglas fir

IDF
Interior douglas fir

MS
Montane spruce

ICH
Interior cedar hemlock

ESSF
Engelmann spruce subalpine fir

SBPS
Sub-boreal pine spruce

SBS
Sub-boreal spruce

BWBS
Boreal white and black spruce

PP
Ponderosa pine

BG
Bunchgrass","Harvest

Site preparation

Reforestation","Climate change resilience

Wildfire risk

Ecosystem health","Variable retention

Planting

Thinning

Pre-commercial thinning

Salvage

Prescribed fire",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata

Ba
Amabilis fir
Abies amabilis

Bg
Grand fir
Abies grandis

Dr
Red alder
Alnus rubra

Py
Ponderosa pine
Pinus ponderosa

Pl
Lodgepole pine
Pinus contorta

Sx
Hybrid spruce
Picea engelmannii x glauca (interior) and
Picea glauca x sitchensis (coastal)

Bl
Subalpine fir
Abies lasiocarpa

Lw
Western larch
Larix occidentalis

Pw
Western white pine
Pinus monticola

At
Trembling aspen
Populus tremuloides

Se
Engelmann spruce
Picea engelmannii

EP
Paper birch
Betula papyrifera

Sb
Black spruce
Picea mariana

Act
Black cottonwood
Populus trichocarpa",,,,,,,"Natural disturbances

Structure

Competition","Fire

Windthrow

Mass wasting

Drought

Bark beetle

Root rot

Flooding

Western spruce budworm

Douglas fir tussock moth

Mountain pine beetle

Dwarf mistletoe

Western hemlock looper

Spruc beetle

White pine weevil",,
Silviculture Options for Use in Ranges Designated for the Conservation of Northern Caribou in British Columbia,Silviculture Options for Use in Ranges Designated for the Conservation of Northern Caribou_British Columbia_2011,2011,Peer reviewed literature (discussion paper),Wildlife Infometrics,,Canada,British Columbia,,"Boreal forests

Montane and subalpine forests","SWB
Spruce willow birch

BWBS
Boreal white and black spruce

ESSF
Engelmann spruce subalpine fir","Harvest

Restoration",Wildlife,"Salvage

Planting

Prescribed burn

Brushing

Fertilization

Thinning

Pre-commercial thinning

Prescribed burn

Restoration

Regeneration cut

Patch cutting",Manual brushing,,,"Pl
Lodgepole pine
Pinus contorta",Caribou,,,,,"UWR
Ungulate winter range

WHA
Wildlife habitat area

NMNEA
Northern mountain ecological area","Natural disturbances

Competition

Silvics",Mountain pine beetle ,,
Considerations for Rehabilitation of Naturally Disturbed Forests (MPB); Part 1 Watershed Hydrology,Considerations for Rehabilitation of Naturally Disturbed Forests - MPB - Part 1 Watershed Hydrology_British Columbia_2011,2011,Extension note,BC Ministry of Forests,,Canada,"British Columbia

South interior BC",Okanagan - Kamloops,"Sub-boreal forests

Montane and subalpine forests","SBS
Sub-boreal spruce

MS
Montane spruce","Restoration

Harvest",Hydrology,"Variable retention

Planting

Salvage

Restoration

Monitoring",Mulching,,,,,Riparian habitat,,,,,"Natural disturbances

Growth","Mountain pine beetle

Windthrow",,
Considerations for Rehabilitating Naturally Disturbed Stands: Part 2 Stand Level Treatments and Hydrological Equivalent Clearcut Area,Considerations for Rehabilitating Naturally Disturbed Stands - Part 2 Stand Level Treatments and Hydrological Equivalent Clearcut Area_British Columbia_2011,2011,Extension note,,,,,,,,,,,,,,,,,,,,,,,,
Benefits of and Barriers to Compatible Management for Timber and Non-Timber Values in BC: Results of a Survey,Benefits of and Barriers to Compatible Management for Timber and Non-Timber Values - Results of a Survey_British Columbia_2010,2010,Peer reviewed literature (discussion paper),,,,,,,,,,,,,,,,,,,,,,,,
British Columbia's Interior: Fisher Wildlife Habitat Decision Aid,Fisher Wildlife Habitat Decision Aid_Interior British Columbia_2009,2009,Decision aid,,,,,,,,,,,,,,,,,,,,,,,,
